Unnamed: 0,scrape_id,host_id,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,distance_to_city_center,sentiment_score,average_review_length,host_profile_pic_people_visible,host_profile_pic_male_or_female,host_profile_pic_setting_indoor_outdoor,host_profile_pic_professionality,host_profile_pic_quality,picture_url_setting_indoor_outdoor
5765,20240918135550,52747435.0,14.0,34.0,52.54706367708089,13.351911493136962,1.0,1.0,1.0,1.0,92.0,180.0,92.0,92.0,180.0,180.0,92.0,180.0,,0.0,0.0,0.0,240.0,0.0,0.0,0.0,,,,,,,,14.0,5.0,0.0,9.0,,0.0607892192948232,0.0,,0.93701171875,0.99169921875,0.39990234375,0.12249755859375,0.92529296875,0.027587890625
5766,20240918135550,52747435.0,14.0,34.0,52.547001775310335,13.352263053853177,1.0,1.0,1.0,1.0,92.0,180.0,92.0,92.0,180.0,180.0,92.0,180.0,,0.0,0.0,0.0,240.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,14.0,5.0,0.0,9.0,0.07,0.0604747744414907,0.0053348837209302,15.0,0.93701171875,0.99169921875,0.39990234375,0.12249755859375,0.92529296875,0.9775390625
5767,20240918135550,147647876.0,8.0,11.0,52.51644188832311,13.2804602258492,2.0,1.0,1.0,1.0,2.0,365.0,2.0,2.0,365.0,365.0,2.0,365.0,,7.0,30.0,60.0,335.0,5.0,0.0,0.0,4.8,5.0,4.4,5.0,5.0,5.0,4.6,8.0,0.0,8.0,0.0,0.31,0.1194517739605628,0.0167549339549339,38.8,0.76904296875,0.90576171875,0.012237548828125,0.0056419372558593,0.958984375,0.9560546875
5768,20240918135550,52747435.0,14.0,34.0,52.548758509153245,13.350141794777231,1.0,1.0,1.0,1.0,92.0,180.0,92.0,92.0,180.0,180.0,92.0,180.0,,29.0,59.0,89.0,364.0,1.0,0.0,0.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,14.0,5.0,0.0,9.0,0.08,0.0632283266277535,0.0150180032733224,113.0,0.93701171875,0.99169921875,0.39990234375,0.12249755859375,0.92529296875,0.99169921875
5769,20240918135550,434485440.0,310.0,311.0,52.5516337,13.4144614,2.0,1.0,1.0,1.0,90.0,1125.0,92.0,365.0,1125.0,1125.0,94.5,1125.0,,0.0,0.0,0.0,110.0,0.0,0.0,0.0,,,,,,,,302.0,302.0,0.0,0.0,,0.044635673998067,0.0,,0.93701171875,0.99169921875,0.39990234375,0.12249755859375,0.92529296875,0.9794921875
5770,20240918135550,177002605.0,1.0,1.0,52.47028913191971,13.44133319390668,2.0,0.5,1.0,1.0,7.0,31.0,7.0,7.0,31.0,31.0,7.0,31.0,,14.0,44.0,74.0,100.0,0.0,0.0,0.0,,,,,,,,1.0,0.0,1.0,0.0,,0.0571874590364941,0.0,,0.97265625,0.9814453125,0.291015625,0.71875,0.96875,0.37744140625
5771,20240918135550,8768401.0,1.0,4.0,52.51033647190511,13.45209319190012,3.0,1.0,1.0,1.0,3.0,365.0,3.0,3.0,365.0,365.0,3.0,365.0,,17.0,31.0,31.0,31.0,27.0,20.0,1.0,4.89,4.81,4.59,4.81,4.93,4.93,4.63,1.0,0.0,1.0,0.0,1.77,0.0523893174991374,0.0199772501380452,33.51851851851852,0.77734375,0.67236328125,0.248046875,0.1895751953125,0.740234375,0.97509765625
5772,20240918135550,449692327.0,58.0,59.0,52.50411222827858,13.44058204105804,2.0,1.0,1.0,1.0,92.0,330.0,92.0,92.0,330.0,330.0,92.0,330.0,,15.0,45.0,75.0,350.0,0.0,0.0,0.0,,,,,,,,58.0,58.0,0.0,0.0,,0.0412259349231736,0.0,,0.74609375,0.9072265625,0.0015974044799804,0.0311431884765625,0.9951171875,0.99658203125
5773,20240918135550,449692327.0,58.0,59.0,52.48656830363868,13.375522119669672,2.0,1.0,1.0,1.0,92.0,330.0,92.0,92.0,330.0,330.0,92.0,330.0,,4.0,4.0,4.0,205.0,0.0,0.0,0.0,,,,,,,,58.0,58.0,0.0,0.0,,0.0333347898597523,0.0,,0.751953125,0.96630859375,0.64404296875,0.3173828125,0.97998046875,0.9951171875
5774,20240918135550,449692327.0,58.0,59.0,52.499803752779854,13.429772615784888,6.0,1.0,3.0,3.0,92.0,330.0,92.0,92.0,330.0,330.0,92.0,330.0,,0.0,0.0,0.0,237.0,0.0,0.0,0.0,,,,,,,,58.0,58.0,0.0,0.0,,0.0315889943366482,0.0,,0.48046875,0.97412109375,0.9580078125,0.0390625,0.7958984375,0.984375
