y_test,y_pred
81.9,96.47065
111.30000000000001,60.843624
29.400000000000002,72.12822
19.95,319.70093
147.0,156.6198
98.7,79.541626
63.0,90.245575
63.0,105.46942
210.0,178.4162
89.25,150.7047
82.95,108.03854
58.800000000000004,119.56051
84.0,110.591194
121.80000000000001,236.25235
121.80000000000001,233.94165
63.0,75.20445
72.45,89.3823
73.5,67.76056
222.60000000000002,138.26425
150.15,90.85617
21.0,58.844234
109.2,173.45735
124.95,121.813354
109.2,135.05026
61.95,84.43513
77.7,127.464424
69.3,63.86923
195.3,173.31532
126.0,58.169003
54.6,95.30863
63.0,94.0632
160.65,126.216606
37.800000000000004,28.85113
121.80000000000001,201.72917
189.0,175.36635
32.550000000000004,56.518818
120.75,142.96434
68.25,130.87349
94.5,143.96603
93.45,126.00752
147.0,116.97989
168.0,272.51855
68.25,69.590126
94.5,94.2801
148.05,119.50404
100.80000000000001,156.10257
77.7,92.17411
66.15,69.267845
45.15,55.835762
73.5,71.96059
32.550000000000004,54.87972
126.0,112.91446
157.5,158.1049
126.0,68.22857
78.75,92.4225
94.5,151.63562
147.0,151.48729
93.45,124.23962
94.5,190.3625
89.25,143.77097
26.25,61.785564
105.0,112.1566
124.95,239.15271
33.6,43.516457
99.75,104.95819
301.35,299.7225
250.95000000000002,231.35791
32.550000000000004,93.62905
91.35000000000001,87.52686
47.25,199.66302
81.9,148.81659
115.5,123.773605
59.85,95.98641
84.0,84.174164
61.95,50.348686
56.7,39.2907
57.75,65.270515
89.25,151.78403
46.2,81.91398
199.5,213.50116
63.0,73.54037
78.75,94.11338
42.0,75.32326
138.6,82.54617
80.85000000000001,98.65528
88.2,124.116
149.1,173.65756
116.55000000000001,106.009415
329.7,350.25317
71.4,99.05351
156.45000000000002,199.54808
113.4,149.30415
47.25,59.310745
241.5,167.82735
68.25,80.209015
131.25,98.87499
69.3,159.41733
103.95,97.79449
73.5,64.18804
63.0,113.94638
199.5,138.0512
48.300000000000004,80.709496
74.55,71.194176
94.5,97.08634
74.55,44.648365
136.5,128.69713
89.25,47.951237
99.75,140.4054
178.5,197.83298
88.2,111.7119
84.0,144.1097
168.0,122.80366
147.0,191.44136
56.7,77.39225
60.900000000000006,61.912094
119.7,146.79407
315.0,287.47668
63.0,100.81592
52.5,94.41848
68.25,61.0589
73.5,70.75632
89.25,72.30441
199.5,251.88254
79.8,66.644905
68.25,82.940056
91.35000000000001,128.61536
99.75,75.62579
57.75,61.34856
82.95,110.04746
63.0,79.07917
103.95,124.52823
233.10000000000002,389.27075
236.25,193.786
60.900000000000006,94.46774
99.75,120.208
366.45,237.97546
114.45,114.47542
47.25,63.52967
81.9,88.11929
110.25,149.05844
76.65,77.00126
145.95000000000002,201.96432
61.95,148.91064
271.95,191.73503
241.5,343.947
205.8,187.95067
51.45,28.743685
198.45000000000002,151.52478
198.45000000000002,217.22145
57.75,59.395176
99.75,124.27754
157.5,185.0758
36.75,55.58611
137.55,118.646996
387.45,349.81625
168.0,141.1144
15.75,63.691677
85.05,104.86542
40.95,47.37168
304.5,235.6759
40.95,55.548378
355.95,198.2498
63.0,116.38145
162.75,251.61438
94.5,99.3233
63.0,62.305206
89.25,100.12953
257.25,204.3862
82.95,69.33592
168.0,369.88968
110.25,136.74893
48.300000000000004,52.421154
47.25,64.518585
208.95000000000002,227.47093
79.8,72.02245
68.25,70.0019
93.45,142.20357
126.0,131.94502
105.0,156.06947
99.75,61.920567
141.75,139.80707
126.0,131.81883
63.0,108.99508
73.5,93.10061
103.95,128.40308
120.75,114.61105
110.25,73.74809
30.450000000000003,75.01822
54.6,43.173157
93.45,85.0749
164.85,177.21594
79.8,106.868
103.95,105.98174
78.75,99.65401
89.25,106.61846
189.0,321.01697
414.75,361.04764
31.5,77.9139
172.20000000000002,114.70103
63.0,47.657677
84.0,108.43676
42.0,61.321644
119.7,166.74216
52.5,77.95808
97.65,132.65083
39.9,55.788677
126.0,98.59253
145.95000000000002,160.36598
81.9,117.129616
57.75,51.418015
31.5,19.506931
126.0,123.34222
148.05,168.78708
131.25,124.874565
52.5,33.13672
113.4,143.6819
168.0,171.97856
147.0,185.29178
99.75,143.47377
128.1,204.89612
49.35,62.038864
224.70000000000002,215.2475
126.0,114.24047
19.95,41.392185
147.0,127.209435
258.3,163.27779
73.5,51.103024
94.5,75.28536
105.0,103.93084
57.75,130.05838
111.30000000000001,83.491295
65.10000000000001,182.10582
96.60000000000001,114.5048
103.95,170.56218
63.0,80.42074
105.0,123.52008
75.60000000000001,103.20539
50.400000000000006,66.92478
210.0,153.86118
189.0,203.22908
126.0,325.2484
276.15000000000003,144.06094
94.5,111.05692
93.45,51.13466
94.5,73.23037
189.0,119.95251
168.0,116.91063
157.5,171.88762
44.1,103.86263
241.5,259.487
57.75,104.29296
89.25,97.771355
45.15,73.43326
210.0,269.71347
57.75,52.820114
63.0,110.31078
189.0,122.67638
143.85,142.60901
71.4,83.56783
89.25,168.27466
89.25,146.69705
55.650000000000006,70.06889
86.10000000000001,79.84905
231.0,179.05644
47.25,46.156956
50.400000000000006,66.32272
89.25,154.6352
87.15,87.781364
78.75,126.01604
60.900000000000006,68.04494
55.650000000000006,89.19987
42.0,68.56809
54.6,70.28966
472.5,280.6753
177.45000000000002,315.07495
157.5,88.56964
135.45000000000002,265.36404
115.5,175.88486
183.75,168.30861
187.95000000000002,225.69678
321.3,302.0462
143.85,174.18492
36.75,149.5535
75.60000000000001,120.971436
100.80000000000001,105.520294
196.35,201.06168
26.25,143.43102
156.45000000000002,147.08209
68.25,99.511635
177.45000000000002,137.56311
315.0,240.96217
60.900000000000006,59.721222
93.45,144.87845
66.15,152.19724
446.25,415.2273
56.7,87.934456
204.75,206.79558
201.60000000000002,187.80421
200.55,202.229
78.75,98.1691
105.0,103.53894
63.0,70.56016
150.15,181.29327
94.5,133.0899
176.4,227.63368
539.7,428.60342
110.25,123.175964
73.5,115.08636
100.80000000000001,104.69877
50.400000000000006,110.67097
120.75,111.51515
194.25,173.53957
106.05000000000001,156.49152
262.5,233.96347
110.25,94.163734
52.5,110.43249
68.25,122.293175
220.5,377.15543
126.0,150.70947
228.9,201.0615
219.45000000000002,227.2167
72.45,85.0596
135.45000000000002,88.79854
373.8,430.2477
54.6,99.05952
135.45000000000002,127.7145
180.6,175.56276
93.45,88.57656
68.25,76.739655
123.9,131.82759
52.5,60.278423
75.60000000000001,113.81648
175.35,183.05234
105.0,139.69724
105.0,147.53557
68.25,35.029987
63.0,59.669544
226.8,309.01004
131.25,113.98293
400.05,272.79172
95.55,118.12159
78.75,56.193024
48.300000000000004,58.212288
221.55,170.48996
478.8,200.64154
200.55,209.42722
199.5,302.90567
259.35,192.32362
126.0,108.41241
121.80000000000001,156.0843
78.75,73.48384
47.25,54.774574
114.45,112.66558
103.95,85.48773
38.85,71.91572
50.400000000000006,43.390034
38.85,54.508663
46.2,75.928474
997.5,378.01987
289.8,147.49654
166.95000000000002,219.00383
63.0,129.79195
525.0,121.72708
99.75,125.79942
53.550000000000004,52.610146
61.95,102.742325
82.95,128.9455
126.0,73.36656
47.25,50.688957
108.15,104.22575
42.0,46.100582
218.4,184.99004
183.75,196.68993
80.85000000000001,106.1853
255.15,237.94211
213.15,133.68376
325.5,389.33005
52.5,44.25509
38.85,70.6241
189.0,194.16597
239.4,243.12398
71.4,139.95724
126.0,118.234795
58.800000000000004,85.26527
184.8,181.81047
52.5,67.64103
70.35000000000001,56.19939
279.3,250.00429
74.55,143.85497
102.9,98.18624
47.25,25.546108
68.25,75.07459
268.8,278.40857
94.5,82.064606
42.0,48.100227
156.45000000000002,107.19028
270.90000000000003,272.65237
179.55,219.06927
57.75,95.48301
81.9,100.825806
76.65,77.95591
238.35000000000002,250.15439
88.2,82.364365
63.0,70.07372
156.45000000000002,148.29698
242.55,268.13333
204.75,222.02513
103.95,128.36905
107.10000000000001,82.81543
78.75,67.05293
42.0,64.65705
187.95000000000002,271.66092
95.55,145.58438
94.5,141.83023
63.0,175.69128
50.400000000000006,60.81431
52.5,64.19563
131.25,123.80462
38.85,67.33419
126.0,181.45992
210.0,204.26385
149.1,205.06943
189.0,235.7986
57.75,125.30075
143.85,166.93404
136.5,129.56168
88.2,98.721924
114.45,111.00636
135.45000000000002,149.47511
94.5,104.85966
58.800000000000004,73.52864
225.75,159.16644
441.0,338.4353
303.45,314.73563
109.2,147.15536
114.45,103.47842
123.9,144.25917
115.5,133.6775
70.35000000000001,71.70523
157.5,156.2681
115.5,145.9474
210.0,211.63918
151.20000000000002,180.52821
172.20000000000002,239.54321
45.15,53.993793
231.0,133.69044
147.0,137.75441
88.2,106.36024
100.80000000000001,60.924133
89.25,93.56342
149.1,151.3705
149.1,182.14955
157.5,107.45677
149.1,170.8265
210.0,193.94226
189.0,196.1256
110.25,140.85304
262.5,168.16493
75.60000000000001,102.19104
136.5,92.66387
135.45000000000002,134.15266
152.25,155.22543
197.4,251.60652
189.0,79.423004
114.45,99.62721
157.5,95.84036
58.800000000000004,54.28
113.4,98.232544
157.5,139.23233
126.0,118.165016
93.45,123.691986
322.35,194.89645
61.95,72.51517
130.20000000000002,84.75143
53.550000000000004,68.62188
170.1,252.06673
145.95000000000002,153.75801
84.0,123.27164
69.3,106.09803
91.35000000000001,134.55081
149.1,194.5025
48.300000000000004,82.820145
42.0,100.91726
89.25,89.08827
929.25,231.8804
47.25,44.910583
138.6,137.50957
42.0,81.65084
132.3,93.19711
147.0,166.91035
116.55000000000001,117.249306
34.65,38.71282
42.0,31.19826
63.0,82.50818
387.45,240.8081
85.05,142.91002
47.25,53.65845
399.0,397.03113
74.55,76.170006
131.25,103.52477
48.300000000000004,50.96784
263.55,258.60074
69.3,86.83168
94.5,87.67538
198.45000000000002,194.70512
52.5,66.067154
129.15,144.57924
54.6,98.104774
97.65,154.73643
220.5,133.29364
95.55,110.212524
63.0,53.826912
178.5,275.136
171.15,180.84953
171.15,141.57019
71.4,68.10988
136.5,120.60496
174.3,214.10786
45.15,47.2816
191.1,202.3193
40.95,57.20289
94.5,72.2125
28.35,23.822657
204.75,208.78882
69.3,91.51896
89.25,179.66478
126.0,154.92953
35.7,31.165678
63.0,99.26374
110.25,147.12276
153.3,123.50431
237.3,209.16708
49.35,67.03416
102.9,186.91757
315.0,124.58295
85.05,68.38408
105.0,112.974915
