y_test,y_pred
33.6,39.3073
105.0,93.1959
112.14,149.69876
156.24,142.16652
78.75,84.250496
258.3,330.00592
69.78399999999999,59.61821
131.04,113.26608
478.8,344.67026
220.5,218.59465
132.3,146.23865
70.77199999999999,98.8831
107.1,159.32347
161.1,127.33531
171.15,168.8434
51.45,55.96338
252.0,302.79022
84.0,104.11615
126.0,108.92827
143.64000000000001,193.88072
138.6,131.6437
21.0,38.62197
302.4,270.5506
72.0,94.77758
108.81,149.5972
26.65,168.086
102.33,130.05783
128.52,212.02037
126.0,99.32625
322.56,352.09256
147.0,197.59323
584.64,588.4211
73.5,82.386955
294.0,322.89398
179.452,178.30365
352.8,629.3771
40.846,25.111547
42.84,45.85456
252.0,360.8466
126.0,158.86086
61.95,86.18772
38.038,66.31258
23.94,50.232986
260.82,347.25372
365.4,342.61563
88.842,47.992966
87.36,76.99087
92.898,60.087887
149.94,152.91736
58.11,95.645676
29.77,102.13549
40.69,43.257725
651.0,188.04774
63.0,63.254723
135.0,114.08159
44.408,58.361183
29.9,39.185658
178.542,59.080135
108.0,140.18188
105.84,118.89998
56.55,46.305603
125.91,95.19381
49.14,65.483284
93.45,89.557785
827.82,498.23874
189.0,134.47667
557.154,270.7356
241.5,200.90778
99.54,115.23766
103.95,115.05751
315.0,298.6275
442.05,285.08408
67.5,136.94608
389.55,324.35864
126.0,109.94628
72.45,80.72456
80.64,82.75543
107.10000000000001,89.680664
492.66,306.82355
204.75,107.58544
345.24,419.76215
62.4,54.365364
81.0,121.18514
142.11599999999999,57.879498
117.0,97.085815
41.678,54.878876
126.0,162.09457
599.76,255.9971
126.0,118.87973
99.75,114.6429
65.52,71.639084
119.05399999999999,88.90983
117.0,350.05563
153.3,160.92271
154.98,226.86653
73.5,75.11192
220.5,222.78432
49.14,60.49343
25.200000000000003,65.490234
135.0,105.11711
138.6,158.87996
69.3,100.80027
54.574,69.545044
86.10000000000001,75.30767
200.55,161.1129
255.78,302.13257
99.0,94.05936
181.428,207.50189
75.6,69.28395
85.5,85.44909
68.25,90.325386
39.961999999999996,56.392056
81.0,97.33048
62.4,70.758
225.75,169.41612
213.17399999999998,232.4747
12.479999999999999,47.38246
15.053999999999998,54.689228
84.0,106.23843
71.05799999999999,84.29699
73.5,79.19279
51.45,49.843277
126.0,97.04957
151.2,124.902016
64.636,63.027107
37.414,53.809406
63.0,51.1624
119.02799999999999,119.81281
70.74,87.24485
189.0,191.03624
415.26,453.78265
120.96,127.06211
94.5,85.16452
131.25,101.61215
51.3,50.074303
37.800000000000004,45.910896
235.20000000000002,242.61005
78.05199999999999,81.86593
78.75,160.92885
59.8,51.720222
78.676,92.34169
99.36,107.56116
88.816,64.81889
41.6,42.924084
142.8,135.07123
177.45000000000002,154.8391
48.099999999999994,41.635357
98.8,95.43842
65.52,77.74162
45.36,53.74896
175.14000000000001,226.77014
27.534,35.334282
195.3,171.03783
13.78,10.662039
135.45000000000002,108.52196
137.55,151.7463
115.5,89.12586
99.75,155.97836
183.75,180.51016
132.3,137.71788
180.18,285.09833
112.14,146.94014
121.80000000000001,73.88447
189.0,317.47394
206.85000000000002,158.14363
37.800000000000004,21.780714
37.44,50.468155
75.39999999999999,92.52028
367.5,329.74826
94.5,155.1447
86.94,77.604195
68.822,61.633736
156.45000000000002,184.39552
79.8,108.793495
233.10000000000002,221.37509
30.055999999999997,62.298595
57.772,88.91521
225.0,201.42622
225.75,194.38283
172.62,262.2671
195.3,161.93065
54.626,63.548527
163.8,139.82599
62.504,79.77227
72.45,100.14831
192.78,178.73322
52.0,84.967384
131.25,113.69181
95.76,100.934166
10.53,7.082616
69.3,70.383286
167.58,190.35364
162.75,89.28472
78.0,83.24157
88.2,83.37529
67.47,60.248184
70.85,83.484245
907.2,499.1241
23.218,34.56742
352.56,31.250492
28.599999999999998,34.747845
97.65,95.45041
252.0,341.9671
74.34,129.96106
71.4,137.25755
475.65000000000003,379.35736
184.8,214.95996
111.8,99.01251
58.629999999999995,75.054306
152.25,102.673996
307.44,207.9942
400.05,412.14008
266.7,178.6082
165.06,226.38817
100.438,96.33504
36.296,63.806114
710.606,72.087845
682.5,150.42566
57.96,166.29863
227.85000000000002,100.84052
875.7,556.5585
131.04,154.5223
22.204,50.206905
78.12,94.8002
263.55,187.46376
107.1,63.854607
371.7,408.3987
122.22,152.96106
170.1,118.91115
53.3,69.59432
74.34,89.116325
133.35,149.88495
297.64799999999997,295.0335
52.5,33.37
133.35,86.80783
44.33,70.53318
59.85,70.60082
43.524,47.619816
62.192,60.292583
24.804,90.12484
40.794,64.30894
57.75,92.83452
35.542,24.038124
20.93,69.19389
452.34,297.6693
190.26,290.3039
161.28,158.49884
122.22,154.2304
113.4,139.2138
819.0,594.33844
51.45,84.93351
37.699999999999996,41.288258
414.388,194.57474
705.6,301.93124
107.458,67.25499
138.6,98.20282
60.900000000000006,51.33349
35.542,32.982025
127.27,124.91492
277.2,385.86328
176.4,301.2154
119.6,84.76218
144.9,171.891
242.55,233.81403
43.29,66.87747
15.703999999999999,57.85533
93.45,125.02381
63.0,100.64359
307.65000000000003,341.43903
117.0,123.70814
86.684,90.91197
51.141999999999996,58.468864
47.25,47.171806
83.16,96.95899
113.4,155.5408
109.2,132.84698
395.64,364.23096
22.672,61.780144
35.724,44.41603
29.77,18.293205
440.726,420.14133
252.0,254.73125
351.0,283.9726
462.0,413.5507
222.60000000000002,224.16316
117.18,148.4269
54.6,86.90332
68.822,64.18316
141.75,196.81279
287.7,151.65219
69.446,29.998375
100.8,219.4278
50.4,53.761993
44.1,56.00763
68.39999999999999,126.06124
221.55,268.132
44.1,53.677406
24.804,26.424608
162.54,135.83394
35.7,19.262365
187.74,182.32
60.480000000000004,73.92168
596.4399999999999,593.3406
153.3,170.41803
17.862,45.80517
72.8,74.02119
70.48599999999999,112.745224
52.0,64.31821
170.1,180.26761
47.25,50.59726
149.1,217.91797
173.25,173.6178
84.318,72.70905
126.0,107.16993
187.74,196.80096
299.25,235.07338
90.72,95.70078
93.45,127.76434
63.0,53.60294
40.95,55.42347
10.4,17.445585
29.77,52.083744
